p,m,n,q,df,average ugamma rank,average ugamma_unbiased rank,average skewedd,average kurtosis,distribution,convergence rate,T,T+T_B,T+T_S,T+T_S2,T+T_E1,T+T_E2,T+T_3,T_SB,T_SB+T_B,T_SB+T_S,T_SB+T_S2,T_SB+T_E1,T_SB+T_E2,T_SB+T_3,T_cor1,T_cor1+T_B,T_cor1+T_S,T_cor1+T_S2,T_cor1+T_E1,T_cor1+T_E2,T_cor1+T_3,T_MVA,T_MVA+T_B,T_MVA+T_S,T_MVA+T_S2,T_MVA+T_E1,T_MVA+T_E2,T_MVA+T_3,T_MVA2,T_MVA2+T_B,T_MVA2+T_S,T_MVA2+T_S2,T_MVA2+T_E1,T_MVA2+T_E2,T_MVA2+T_3,T_cor2,T_cor2+T_B,T_cor2+T_S,T_cor2+T_S2,T_cor2+T_E1,T_cor2+T_E2,T_cor2+T_3,T_cor3,T_cor3+T_B,T_cor3+T_S,T_cor3+T_S2,T_cor3+T_E1,T_cor3+T_E2,T_cor3+T_3,T_cor4,T_cor4+T_B,T_cor4+T_S,T_cor4+T_S2,T_cor4+T_E1,T_cor4+T_E2,T_cor4+T_3,T_cor5,T_cor5+T_B,T_cor5+T_S,T_cor5+T_S2,T_cor5+T_E1,T_cor5+T_E2,T_cor5+T_3,T_SB^U,T_MVA^U,T_cor1^1,T_MVA2^U,average rmse,average bias of se (gamma_u),ad value T,ad value T_SB,ad value T_cor1,ad value T_MVA,ad value T_MVA2,ad value T_cor2,ad value T_cor3,ad value T_cor4,ad value T_cor5,ad value T_SB^U,ad value T_MVA^U,ad value T_cor1^1,ad value T_MVA2^U
5,1,40,10,5,5,5,5.365153761,3.868340059,normal,1,0.052,0.033,0.035,0.035,0.033,0.033,0.033,0.067,0.05,0.057,0.057,0.05,0.05,0.05,0.067,0.05,0.057,0.057,0.05,0.05,0.05,0.05,0.035,0.039,0.039,0.035,0.035,0.035,0.069,0.049,0.053,0.053,0.049,0.049,0.049,0.067,0.05,0.057,0.057,0.05,0.05,0.05,0.067,0.05,0.057,0.057,0.05,0.05,0.05,0.06,0.045,0.049,0.049,0.045,0.045,0.045,0.068,0.051,0.055,0.055,0.051,0.051,0.051,0.053,0.053,0.036,0.052,0.123923857,0.057570298,0.550792201,11.67010813,11.67010813,19.95143059,9.020014172,11.67010813,11.67010813,14.81572546,10.12720178,0.960869397,0.960869397,8.37404182,0.476755343
5,1,60,10,5,5,5,5.232171004,4.140783995,normal,1,0.05,0.039,0.04,0.04,0.039,0.039,0.039,0.062,0.047,0.049,0.049,0.047,0.047,0.047,0.062,0.047,0.049,0.049,0.047,0.047,0.047,0.045,0.028,0.033,0.033,0.028,0.028,0.028,0.058,0.048,0.05,0.05,0.048,0.048,0.048,0.062,0.047,0.049,0.049,0.047,0.047,0.047,0.062,0.047,0.049,0.049,0.047,0.047,0.047,0.05,0.041,0.044,0.044,0.041,0.041,0.041,0.058,0.047,0.049,0.049,0.047,0.047,0.047,0.047,0.047,0.031,0.049,0.093131485,0.041353505,0.391334811,4.451517409,4.451517409,9.408248532,3.559355067,4.451517409,4.451517409,6.343486548,3.898224832,0.495819889,0.495819889,4.594446892,0.643807533
5,1,100,10,5,5,5,5.137563826,4.429249093,normal,1,0.049,0.04,0.041,0.041,0.04,0.04,0.04,0.05,0.042,0.045,0.045,0.042,0.042,0.042,0.05,0.042,0.045,0.045,0.042,0.042,0.042,0.04,0.035,0.035,0.035,0.035,0.035,0.035,0.049,0.043,0.046,0.046,0.042,0.043,0.043,0.05,0.042,0.045,0.045,0.042,0.042,0.042,0.05,0.042,0.045,0.045,0.042,0.042,0.042,0.044,0.036,0.038,0.038,0.036,0.036,0.036,0.049,0.042,0.045,0.045,0.042,0.042,0.042,0.044,0.044,0.035,0.046,0.061289193,0.02054796,1.871613087,5.540276544,5.540276544,8.004528018,4.96121274,5.540276544,5.540276544,6.524988698,5.206677967,2.029515396,2.029515396,4.269110412,1.768070131
5,1,200,10,5,5,5,5.06247377,4.684302975,normal,1,0.051,0.047,0.047,0.047,0.047,0.047,0.047,0.058,0.055,0.055,0.055,0.054,0.055,0.055,0.058,0.055,0.055,0.055,0.054,0.055,0.055,0.05,0.049,0.049,0.049,0.049,0.049,0.049,0.058,0.053,0.054,0.054,0.053,0.053,0.053,0.058,0.055,0.055,0.055,0.054,0.055,0.055,0.058,0.055,0.055,0.055,0.054,0.055,0.055,0.055,0.049,0.049,0.049,0.049,0.049,0.049,0.058,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.049,0.054,0.045371439,0.022794352,3.715426588,5.473383397,5.473383397,7.117658539,4.824837485,5.473383397,5.473383397,6.222875341,5.140198306,3.544413044,3.544413044,5.14147545,2.83820178
5,1,300,10,5,5,5,5.042230464,4.784186996,normal,1,0.054,0.051,0.052,0.052,0.051,0.051,0.051,0.057,0.052,0.053,0.053,0.052,0.052,0.053,0.057,0.052,0.053,0.053,0.052,0.052,0.053,0.053,0.051,0.051,0.051,0.051,0.051,0.051,0.055,0.053,0.053,0.053,0.053,0.053,0.053,0.057,0.052,0.053,0.053,0.052,0.052,0.053,0.057,0.052,0.053,0.053,0.052,0.052,0.053,0.053,0.052,0.052,0.052,0.052,0.052,0.052,0.056,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.051,0.053,0.041720363,0.021122055,2.375076728,3.356519344,3.356519344,4.131321672,3.055554538,3.356519344,3.356519344,3.709691224,3.2024121,2.30655332,2.30655332,3.051915313,1.972811132
5,1,500,10,5,5,5,5.025280465,4.866789247,normal,1,0.057,0.056,0.057,0.057,0.056,0.056,0.056,0.061,0.058,0.059,0.059,0.058,0.058,0.058,0.061,0.058,0.059,0.059,0.058,0.058,0.058,0.057,0.055,0.055,0.055,0.055,0.055,0.055,0.061,0.058,0.058,0.058,0.058,0.058,0.058,0.061,0.058,0.059,0.059,0.058,0.058,0.058,0.061,0.058,0.059,0.059,0.058,0.058,0.058,0.059,0.057,0.058,0.058,0.057,0.057,0.057,0.061,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.055,0.058,0.028236864,0.019419443,3.704375106,4.675403149,4.675403149,5.14732723,4.512925741,4.675403149,4.675403149,4.89836238,4.592754232,3.88243706,3.88243706,4.346139167,3.673303882
5,1,1000,10,5,5,5,5.01321713,4.932315901,normal,1,0.056,0.054,0.054,0.054,0.054,0.054,0.054,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.056,0.056,0.056,0.056,0.056,0.056,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.056,0.058,0.022247277,0.020080725,0.287763714,0.372435969,0.372435969,0.33991678,0.371024174,0.372435969,0.372435969,0.352234264,0.371274624,0.315618862,0.315618862,0.276742912,0.326091958
15,3,40,33,87,39,87,96.33340694,19.99947802,normal,1,0.047,0.001,0.002,0,0.002,0.002,0.002,0.14,0.002,0.009,0,0.005,0.005,0.005,0.029,0.001,0.001,0,0.001,0.001,0.001,0.003,0,0.001,0,0.001,0.001,0.001,0.141,0.002,0.008,0,0.003,0.003,0.003,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.02,0.001,0.001,0,0.001,0.001,0.001,0.14,0.002,0.009,0,0.004,0.004,0.004,0.045,0.045,0.001,0.02,0.12622683,0.075285647,9.059357218,194.2748416,153.9758092,175.5359605,194.8286365,2799.570463,1040.694056,158.9086977,194.3459311,8.224896914,8.224896914,109.705083,16.83496938
15,3,60,33,87,59,87,93.32708474,27.08471377,normal,1,0.046,0.004,0.007,0,0.006,0.006,0.006,0.086,0.01,0.02,0.007,0.016,0.016,0.016,0.048,0.003,0.007,0.003,0.006,0.006,0.006,0.007,0,0.001,0,0,0,0,0.087,0.01,0.02,0.006,0.011,0.011,0.011,0.003,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0.024,0.001,0.003,0.001,0.003,0.003,0.003,0.086,0.01,0.021,0.007,0.013,0.013,0.013,0.044,0.044,0.003,0.035,0.09634295,0.062438459,3.626831253,78.20875753,75.85286217,113.4474039,75.68787896,480.0089423,277.7290657,82.73015909,76.85131373,3.172591621,3.172591621,78.16623344,5.566516619
15,3,100,33,87,87,87,90.98281071,37.46444613,normal,1,0.047,0.011,0.016,0.016,0.012,0.012,0.012,0.066,0.021,0.028,0.028,0.025,0.025,0.025,0.066,0.021,0.028,0.028,0.025,0.025,0.025,0.01,0.001,0.002,0.002,0.001,0.001,0.001,0.064,0.02,0.026,0.026,0.023,0.023,0.023,0.066,0.021,0.028,0.028,0.025,0.025,0.025,0.066,0.021,0.028,0.028,0.025,0.025,0.025,0.029,0.003,0.008,0.008,0.005,0.005,0.005,0.065,0.02,0.028,0.028,0.023,0.023,0.023,0.041,0.041,0.003,0.036,0.062507057,0.023713766,0.870336006,20.09598933,20.09598933,56.66738752,18.46544517,20.09598933,20.09598933,31.39159239,19.23448075,0.631168113,0.631168113,43.38279989,0.816081813
